"Name","Symbol","Decimals","Mainnet Address","Asset Type","Derivative Type","Uniswap Pair","Chainlink Description","Chainlink Proxy","Chainlink Aggregator (for Testnet)"
"Aave","AAVE",18,"0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9","Primitive",,,"AAVE / ETH","0x6Df09E975c830ECae5bd4eD9d90f3A95a4f88012","0x42F3b59f72772EB5794B04D2d85aFAC0D30A5683"
"AdEx","ADX",18,"0xade00c28244d5ce17d72e40330b1c318cd12b7c3","Primitive",,,"ADX / USD","0x231e764B44b2C1b7Ca171fa8021A24ed520Cde10","0xade00c28244d5ce17d72e40330b1c318cd12b7c3"
"Aragon Network Token","ANT",18,"0xa117000000f279d81a1d3cc75430faa017fa5a2e","Primitive",,,"ANT / ETH","0x8f83670260f8f7708143b836a2a6f11ef0abac01","0x9268d7b714af3f4e6f347ec347fd25d97dabc929"
"Balancer","BAL",18,"0xba100000625a3754423978a60c9317c58a424e3d","Primitive",,,"BAL / ETH","0xc1438aa3823a6ba0c159cfa8d98df5a994ba120b","0x2f6bfbbb5d9cd374574aa552dc6942c01d330c75"
"Basic Attention Token","BAT",18,"0x0d8775f648430679a709e98d2b0cb6250d2887ef","Primitive",,,"BAT / ETH","0x0d16d4528239e9ee52fa531af613acdb23d88c94","0x3146392934da3ae09447cd7fe4061d8aa96b50ae"
"BNB","BNB",18,"0xb8c77482e45f1f44de1745f52c74426c631bdd52","Primitive",,,"BNB / USD","0x14e613ac84a31f709eadbdf89c6cc390fdc9540a","0x90888cddad598570c6edc443eee9aadb63cda3c4"
"Bancor Network Token","BNT",18,"0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c","Primitive",,,"BNT / ETH","0xcf61d1841b178fe82c8895fe60c2edda08314416","0x0a3ec7050884f00b5d9b11131de59dced0fafedb"
"Binance USD","BUSD",18,"0x4fabb145d64652a948d72533023f6e7a623c7c53","Primitive",,,"BUSD / ETH","0x614715d2af89e6ec99a233818275142ce88d1cfd","0x661be809784e094ea70f980939cf3f09337a3178"
"bZx Protocol Token","BZRX",18,"0x56d811088235f11c8920698a204a5010a788f4b3","Primitive",,,"BZRX / ETH","0x8f7c7181ed1a2ba41cfc3f5d064ef91b67daef66","0xb58b218365cd12ad765ba8a9f88e881d2b2a01c2"
"Compound Basic Attention Token","cBAT",8,"0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e","Derivative","Compound",,,,
